uid,user,url,starts,active_seconds,domain,category,ends,gap_seconds
357,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:13:40,68,306bf00500f76b05,234f5b297d040799,2013-06-12 20:14:48,0
1680,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 20:14:48,220,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 20:18:28,0
355,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:18:28,42,306bf00500f76b05,234f5b297d040799,2013-06-12 20:19:10,0
1682,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 20:19:10,4,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 20:19:14,0
352,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:19:14,12,306bf00500f76b05,234f5b297d040799,2013-06-12 20:19:26,0
1676,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 20:19:26,2,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 20:19:28,0
346,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:19:28,351,306bf00500f76b05,234f5b297d040799,2013-06-12 20:25:19,0
348,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:28:45,182,306bf00500f76b05,234f5b297d040799,2013-06-12 20:31:47,206
351,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:33:01,180,306bf00500f76b05,234f5b297d040799,2013-06-12 20:36:01,74
345,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:36:25,184,306bf00500f76b05,234f5b297d040799,2013-06-12 20:39:29,24
347,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 20:40:35,971,306bf00500f76b05,234f5b297d040799,2013-06-12 20:56:46,66
1684,b1dcb5d717657d39,1be5b9fb76a6720f,2013-06-12 20:56:46,270,464c72cc0bd35284,05b3511dd2bd543f,2013-06-12 21:01:16,0
343,b1dcb5d717657d39,66644c888f21f2c2,2013-06-12 21:01:16,333,306bf00500f76b05,234f5b297d040799,2013-06-12 21:06:49,0
491,b1dcb5d717657d39,306bf00500f76b05,2013-06-13 08:09:54,4,306bf00500f76b05,234f5b297d040799,2013-06-13 08:09:58,39785
499,b1dcb5d717657d39,306bf00500f76b05,2013-06-13 08:09:58,16,306bf00500f76b05,234f5b297d040799,2013-06-13 08:10:14,0
485,b1dcb5d717657d39,306bf00500f76b05,2013-06-13 08:11:01,18,306bf00500f76b05,234f5b297d040799,2013-06-13 08:11:19,47
497,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-13 08:11:27,21,306bf00500f76b05,234f5b297d040799,2013-06-13 08:11:48,8
500,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-13 08:12:26,30,306bf00500f76b05,234f5b297d040799,2013-06-13 08:12:56,38
476,b1dcb5d717657d39,445c11bdc8c03a86,2013-06-13 08:13:00,30,306bf00500f76b05,234f5b297d040799,2013-06-13 08:13:30,4
