user,uid,bin,seconds,share,domain,category
354471f893df6b8e,4580,2993,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4580,2994,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4580,2995,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4580,2996,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,2997,39,0.65,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,2998,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,2999,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3000,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3001,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3002,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3003,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3004,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3005,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3006,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3007,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3008,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3009,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3010,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3011,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3012,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4577,3013,20,0.3333333333333333,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4578,3014,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4578,3015,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4578,3016,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4578,3017,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,4578,3018,60,1.0,3837f5e3ea677a7d,539ab0ba840e7c3c
354471f893df6b8e,3755,3019,20,0.3333333333333333,1ab5b1a785b0f697,05175ca42d439154
354471f893df6b8e,3756,3020,56,0.9333333333333333,1ab5b1a785b0f697,05175ca42d439154
354471f893df6b8e,3756,3021,60,1.0,1ab5b1a785b0f697,05175ca42d439154
354471f893df6b8e,3756,3022,60,1.0,1ab5b1a785b0f697,05175ca42d439154
354471f893df6b8e,3756,3023,6,0.1,1ab5b1a785b0f697,05175ca42d439154
354471f893df6b8e,3753,3025,8,0.13333333333333333,1ab5b1a785b0f697,05175ca42d439154
354471f893df6b8e,3753,3026,30,0.5,1ab5b1a785b0f697,05175ca42d439154
354471f893df6b8e,3754,3027,60,1.0,1ab5b1a785b0f697,05175ca42d439154
354471f893df6b8e,3752,3028,22,0.36666666666666664,1ab5b1a785b0f697,05175ca42d439154
354471f893df6b8e,12787,3029,44,0.7333333333333333,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12787,3030,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12787,3031,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12787,3032,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12787,3033,44,0.7333333333333333,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12798,3034,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,2710,3035,26,0.43333333333333335,8f155e77c8af923f,05175ca42d439154
354471f893df6b8e,12793,3036,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12793,3037,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12793,3038,57,0.95,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12783,3041,29,0.48333333333333334,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12783,3042,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12783,3043,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12783,3044,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12783,3045,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12783,3046,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12783,3047,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12792,3048,39,0.65,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12792,3049,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12792,3050,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12792,3051,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12792,3052,60,1.0,d544e57fff1938ca,4666a5ef3fd7fce2
354471f893df6b8e,12792,3053,43,0.7166666666666667,d544e57fff1938ca,4666a5ef3fd7fce2
